Description,Code,Number of jobs,Median,Annual percentage change (Median),Mean,Annual percentage change (Mean),10,20,25,30,40,60,70,75,80,90
      Financial and accounting technicians,3537,27,36884,-1.5,40180,-1.4,11942,20425,23055,26131,31012,42814,x,x,x,x
      Financial accounts managers,3538,98,36487,1.8,45736,7.9,17309,23437,25276,27453,31820,40204,44555,47495,52144,x
      Business and related associate professionals n.e.c.,3539,145,25839,-4.1,28427,-4.6,13423,17771,19396,20758,23227,28943,32420,34541,36848,44446
"    Sales, marketing and related associate professionals",354,885,35855,0.1,43404,2,16377,22875,25000,27050,31350,41233,47516,51728,57204,75001
      Buyers and procurement officers,3541,50,30000,-0.3,32537,-1.1,18322,22557,24037,26018,27821,31748,36271,37888,39966,x
      Business sales executives,3542,207,30916,1,36466,3.7,11679,19620,21955,23663,27146,34822,40434,43673,47784,x
      Marketing associate professionals,3543,105,26197,-0.5,33173,3.6,14066,18485,20224,21317,24096,28989,31725,33501,35000,x
      Estate agents and auctioneers,3544,24,21592,7,23733,4.7,x,x,x,x,x,24151,x,x,x,x
      Sales accounts and business development managers,3545,468,44800,1.3,52209,2.4,23426,30113,32717,35173,40155,50071,57798,62732,68525,89499
      Conference and exhibition managers and organisers,3546,32,23498,-5.7,24442,-6.8,x,x,x,x,21561,25535,28289,x,x,x
    Conservation and environmental associate professionals,355,x,21524,-5.6,22639,-10,x,x,x,x,20285,22757,x,x,x,x
      Conservation and environmental associate professionals,3550,x,21524,-5.6,22639,-10,x,x,x,x,20285,22757,x,x,x,x
    Public services and other associate professionals,356,348,29495,5.6,30872,4.2,15670,20604,22136,23686,26934,32232,35652,37307,39650,45477
      Public services associate professionals,3561,76,32699,15.9,34018,16,19516,24300,26936,28884,31061,36011,38886,39842,40982,x
      Human resources and industrial relations officers,3562,117,28433,3.6,30627,1.1,15929,20148,21455,22824,25271,31228,34866,36385,38798,x
      Vocational and industrial trainers and instructors,3563,98,26858,-1.7,27690,-2.1,13090,18287,19820,20960,23434,29220,32000,34260,36205,x
      Careers advisers and vocational guidance specialists,3564,11,25284,6.2,23915,0.8,x,x,x,18589,23549,27411,29583,x,x,x
      Inspectors of standards and regulations,3565,18,28056,2.7,31569,7.8,16331,22063,23310,24959,26183,31750,32748,x,x,x
      Health and safety officers,3567,29,34931,2.9,36393,3.1,22792,27760,28517,29816,32578,37530,41729,42908,45689,x
Administrative and secretarial occupations,4,2570,18633,1.1,20222,2.2,7184,10168,11620,13225,16225,21000,23766,25468,27561,34242
  Administrative occupations,41,2040,19500,1.7,21080,2.6,7600,10907,12502,14391,17246,21821,24552,26300,28369,35126
    Administrative occupations: Government and related organisations,411,196,22715,4.1,23667,4.2,11883,16074,17983,19253,20910,25280,27497,29069,30595,35121
      National government administrative occupations,4112,129,23414,6.5,24410,5.7,12812,17249,19020,20072,21528,25540,27651,29031,30994,35755
      Local government administrative occupations,4113,58,21713,0.7,22688,3.1,10069,14631,16839,18115,20081,24973,27370,29312,30328,x
      Officers of non-governmental organisations,4114,9,19374,-6.2,19214,-9.9,x,x,x,x,x,21628,23843,x,x,x
    Administrative occupations: Finance,412,450,20078,1.7,21387,0.9,8158,11805,13654,15240,17907,22337,24984,26314,28026,34333
      Credit controllers,4121,24,22284,3.9,22241,2.7,12090,15858,17650,19428,20925,23816,25129,25804,26318,x
"      Book-keepers, payroll managers and wages clerks",4122,237,19999,2.1,21649,0,7822,11138,12825,14664,17461,22457,25625,27250,29631,38000
